Occupation,Income
Architecture and Engineering ,112490
"Arts, Design, Entertainment, Sports, and Media ",72410
Building and Grounds Cleaning and Maintenance ,83970
Business and Financial Operations ,81520
Community and Social Service ,70070
Computer and Mathematical ,45310
Construction and Extraction ,101110
"Education, Training, and Library ",52210
"Farming, Fishing, and Forestry ",55790
Food Preparation and Serving Related ,76010
Healthcare Practitioners and Technical ,28820
Healthcare Support ,43980
"Installation, Maintenance, and Repair ",21980
Legal ,26370
"Life, Physical, and Social Science ",24980
Management ,38660
Office and Administrative Support ,35530
Personal Care and Service ,25160
Production ,46600
Protective Service ,45220
Sales and Related ,35490
Transportation and Material Moving ,34460
